price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 2,145,000.–",5.5 rooms,208m²,7310 Bad Ragaz,st-gallen,Apartment,noteg,2016-2024
"CHF 790,000.–",3.5 rooms,90m²,"Riederenstrasse 4, 8638 Goldingen",st-gallen,Apartment,noteg,2016-2024
"CHF 960,000.–",4.5 rooms,,9451 Kriessern,st-gallen,Apartment,noteg,2016-2024
"CHF 885,000.–",5.5 rooms,140m²,9451 Kriessern,st-gallen,Apartment,noteg,2016-2024
"CHF 845,000.–",3.5 rooms,96m²,9451 Kriessern,st-gallen,Apartment,noteg,2016-2024
"CHF 1,190,000.–",3.5 rooms,153m²,"Rehetobelstrasse 83, 9016 St. Gallen",st-gallen,Apartment,noteg,2016-2024
"CHF 995,000.–",5.5 rooms,184m²,"Oklahomastrasse 31, 9249 Oberstetten",st-gallen,Apartment,noteg,2016-2024
"CHF 1,170,000.–",3.5 rooms,91m²,"Hofbergstrasse 18, 9500 Wil SG",st-gallen,Apartment,noteg,2016-2024
"CHF 590,000.–",3.5 rooms,90m²,9008 St. Gallen,st-gallen,Apartment,noteg,2016-2024
"CHF 1,190,000.–",5.5 rooms,178m²,"Landbergstrasse 34, 9230 Flawil",st-gallen,Apartment,noteg,2016-2024
"CHF 1,495,000.–",4.5 rooms,148m²,"Dornachstrasse, 9443 Widnau",st-gallen,Apartment,noteg,2016-2024
"CHF 1,595,000.–",4.5 rooms,158m²,"Dornachstrasse, 9443 Widnau",st-gallen,Apartment,noteg,2016-2024
"CHF 950,000.–",4.5 rooms,121m²,"Dornachstrasse, 9443 Widnau",st-gallen,Apartment,noteg,2016-2024
"CHF 1,595,000.–",4.5 rooms,,"Lessingstrasse 22, 9008 St. Gallen",st-gallen,Apartment,noteg,2016-2024
"CHF 1,190,000.–",4.5 rooms,178m²,"Landbergstrasse 34, 9230 Flawil",st-gallen,Apartment,noteg,2016-2024
"CHF 600,000.–",3.5 rooms,85m²,"Wilerstrasse, 9602 Bazenheid",st-gallen,Apartment,noteg,2016-2024
"CHF 765,000.–",3.5 rooms,101m²,"Gstaldenstrasse 13, 9442 Berneck",st-gallen,Apartment,noteg,2016-2024
"CHF 1,390,000.–",4.5 rooms,191m²,"Marktstrasse, 8890 Flums",st-gallen,Apartment,noteg,2016-2024
"CHF 920,000.–",5.5 rooms,167m²,"Marktstrasse, 8890 Flums",st-gallen,Apartment,noteg,2016-2024
"CHF 360,000.–",2.5 rooms,49m²,9602 Bazenheid,st-gallen,Apartment,noteg,2016-2024
"CHF 990,000.–",4.5 rooms,132m²,"Neudorfstrasse 4, 9451 Kriessern",st-gallen,Duplex,eg,2016-2024
"CHF 950,000.–",4.5 rooms,129m²,"Sonnhaldenstrasse 2, 9552 Wil",st-gallen,Duplex,eg,2016-2024
"CHF 1,195,000.–",4.5 rooms,,"Lessingstrasse 22, 9008 St. Gallen",st-gallen,Duplex,eg,2016-2024
"CHF 2,235,000.–",6.5 rooms,,"Lessingstrasse 22, 9008 St. Gallen",st-gallen,Duplex,eg,2016-2024
"CHF 810,000.–",3.5 rooms,116m²,8725 Ernetschwil,st-gallen,Duplex,eg,2016-2024
"CHF 835,000.–",4.5 rooms,209m²,"Lichtensteig, 9620 Lichtensteig",st-gallen,Duplex,noteg,0-1919
"CHF 835,000.–",4.5 rooms,115m²,9300 Wittenbach,st-gallen,Duplex,noteg,0-1919
"CHF 715,000.–",3.5 rooms,87m²,9300 Wittenbach,st-gallen,Duplex,noteg,0-1919
"CHF 795,000.–",3.5 rooms,130m²,9500 Wil SG,st-gallen,Duplex,noteg,0-1919
"CHF 650,000.–",5.5 rooms,133m²,"Grüntalstrasse 18, 9300 Wittenbach",st-gallen,Duplex,noteg,1961-1970
"CHF 790,000.–",5.5 rooms,153m²,"Kreienbergstrasse 1, 9248 Bichwil",st-gallen,Duplex,noteg,1981-1990
"CHF 760,000.–",5.5 rooms,137m²,"Oberstrasse 214, 9000 St. Gallen",st-gallen,Duplex,noteg,1981-1990
"CHF 560,000.–",2 rooms,70m²,8882 Unterterzen,st-gallen,Duplex,noteg,1981-1990
"CHF 720,000.–",4.5 rooms,132m²,9212 Arnegg,st-gallen,Duplex,noteg,1991-2000
"CHF 1,700,000.–",4.5 rooms,127m²,8645 Rapperswil-Jona,st-gallen,Duplex,noteg,2011-2015
"CHF 1,155,000.–",5.5 rooms,165m²,"Ochsenweg, 9122 Mogelsberg",st-gallen,Duplex,noteg,2016-2024
"CHF 1,095,000.–",5.5 rooms,151m²,"Howartstrasse 34a/b, 9642 Ebnat-Kappel",st-gallen,Duplex,noteg,2016-2024
"CHF 1,190,000.–",5.5 rooms,178m²,"Landbergstrasse 34, 9230 Flawil",st-gallen,Duplex,noteg,2016-2024
"CHF 1,190,000.–",4.5 rooms,178m²,"Landbergstrasse 34, 9230 Flawil",st-gallen,Duplex,noteg,2016-2024
"CHF 680,000.–",4.5 rooms,197m²,"Rheineck, 9424 Rheineck",st-gallen,Attic flat,noteg,1946-1960
"CHF 655,000.–",5.5 rooms,115m²,"Waldaustrasse 3, 9500 Wil SG",st-gallen,Attic flat,noteg,1961-1970
"CHF 699,000.–",4.5 rooms,110m²,"Thalerstrasse 115, 9404 Rorschacherberg",st-gallen,Attic flat,noteg,1961-1970
"CHF 735,000.–",5 rooms,126m²,9500 Wil SG,st-gallen,Attic flat,noteg,1961-1970
"CHF 525,000.–",4.5 rooms,89m²,"Höhenstrasse 10, 9032 Engelburg",st-gallen,Attic flat,noteg,1971-1980
"CHF 775,000.–",5.5 rooms,127m²,"Goldach, 9403 Goldach",st-gallen,Attic flat,noteg,1981-1990
"CHF 1,480,000.–",5.5 rooms,172m²,"Rietbergstrasse 29, 9403 Goldach",st-gallen,Attic flat,noteg,1981-1990
"CHF 599,000.–",4.5 rooms,102m²,"Bachstrasse 6, 8734 Ermenswil",st-gallen,Attic flat,noteg,1991-2000
"CHF 959,000.–",5.5 rooms,165m²,"Leginglenstrasse 19, 7320 Sargans",st-gallen,Attic flat,noteg,1991-2000
"CHF 1,160,000.–",5.5 rooms,,"Kublystrasse 25a, 9016 St. Gallen",st-gallen,Attic flat,noteg,1991-2000
"CHF 1,050,000.–",5.5 rooms,141m²,9008 St. Gallen,st-gallen,Attic flat,noteg,1991-2000
"CHF 1,250,000.–",4.5 rooms,163m²,9500 Wil,st-gallen,Attic flat,noteg,2001-2005
"CHF 1,050,000.–",4.5 rooms,144m²,"Heldstrasse 22, 9443 Widnau",st-gallen,Attic flat,noteg,2006-2010
"CHF 885,000.–",5.5 rooms,155m²,"Alte Gasse 2, 9476 Weite",st-gallen,Attic flat,noteg,2011-2015
"CHF 1,350,000.–",4.5 rooms,169m²,"Baumgartenstrasse 1, 8877 Murg",st-gallen,Attic flat,noteg,2011-2015
"CHF 795,000.–",3.5 rooms,91m²,"Trattweg 3, 9443 Widnau",st-gallen,Attic flat,noteg,2011-2015
"CHF 998,000.–",3.5 rooms,137m²,"Rütistrasse 5a, 9443 Widnau",st-gallen,Attic flat,noteg,2011-2015
"CHF 730,000.–",2.5 rooms,81m²,"Valenserstrasse 3a, 7310 Bad Ragaz",st-gallen,Attic flat,noteg,2011-2015
"CHF 1,095,000.–",4.5 rooms,151m²,"Risegg 28, 9422 Staad SG",st-gallen,Attic flat,noteg,2011-2015
"CHF 2,140,000.–",7.5 rooms,305m²,7320 Sargans,st-gallen,Attic flat,noteg,2011-2015
"CHF 1,780,000.–",5.5 rooms,160m²,"Am Oelberg 20, 9500 Wil SG",st-gallen,Attic flat,noteg,2011-2015
"CHF 1,525,000.–",4.5 rooms,143m²,"Im Oberfeld 8, 9450 Lüchingen",st-gallen,Attic flat,noteg,2016-2024
"CHF 910,000.–",4.5 rooms,139m²,"Steigrütiweg 3, 9620 Lichtensteig",st-gallen,Attic flat,noteg,2016-2024
"CHF 670,000.–",2.5 rooms,60m²,"Burgstrasse 86, 9000 St. Gallen",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,690,000.–",5.5 rooms,197m²,"Unterdorfstrasse 29, 9443 Widnau",st-gallen,Attic flat,noteg,2016-2024
"CHF 925,000.–",4.5 rooms,138m²,"Hauptstrasse 62, 9477 Trübbach",st-gallen,Attic flat,noteg,2016-2024
"CHF 990,000.–",2.5 rooms,132m²,"Hauptstrasse 124, 9658 Wildhaus",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,515,000.–",5.5 rooms,159m²,"Rütihaldestrasse 11, 8730 Uznach",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,399,000.–",5.5 rooms,148m²,"Bahnhofstrasse 27, 9242 Oberuzwil",st-gallen,Attic flat,noteg,2016-2024
"CHF 869,000.–",3.5 rooms,89m²,"Bahnhofstrasse 27, 9242 Oberuzwil",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,149,000.–",4.5 rooms,114m²,"Bahnhofstrasse 27, 9242 Oberuzwil",st-gallen,Attic flat,noteg,2016-2024
"CHF 795,000.–",2.5 rooms,90m²,"Hauptstrasse 124, 9658 Wildhaus",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,550,000.–",5.5 rooms,202m²,"Brändlihangstrasse 10, 9442 Berneck",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,250,000.–",4.5 rooms,139m²,"Fanenrietstrasse 5, 7320 Sargans",st-gallen,Attic flat,noteg,2016-2024
"CHF 650,000.–",3.5 rooms,93m²,"Innerfeld 52, 9606 Bütschwil",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,390,000.–",4.5 rooms,191m²,8890 Flums,st-gallen,Attic flat,noteg,2016-2024
"CHF 1,290,000.–",4.5 rooms,144m²,"Haagerstrasse 6, 9465 Salez",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,365,000.–",4.5 rooms,161m²,"Emserenstrasse, 9434 Au SG",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,150,000.–",4.5 rooms,138m²,"Rickenstrasse 51a, 8735 St. Gallenkappel",st-gallen,Attic flat,noteg,2016-2024
"CHF 985,000.–",3.5 rooms,119m²,"Brunnenweg 3a, 9602 Bazenheid",st-gallen,Attic flat,noteg,2016-2024
"CHF 730,000.–",2.5 rooms,69m²,"Schmitterstrasse 5, 9444 Diepoldsau",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,150,000.–",4.5 rooms,138m²,"Rickenstrasse 51a, 8735 St. Gallenkappel",st-gallen,Attic flat,noteg,2016-2024
"CHF 985,000.–",3.5 rooms,119m²,"Brunnenweg 3a, 9602 Bazenheid",st-gallen,Attic flat,noteg,2016-2024
"CHF 960,000.–",4.5 rooms,,9451 Kriessern,st-gallen,Attic flat,noteg,2016-2024
"CHF 845,000.–",3.5 rooms,96m²,9451 Kriessern,st-gallen,Attic flat,noteg,2016-2024
"CHF 1,170,000.–",3.5 rooms,91m²,"Hofbergstrasse 18, 9500 Wil SG",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,495,000.–",4.5 rooms,148m²,"Dornachstrasse, 9443 Widnau",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,595,000.–",4.5 rooms,158m²,"Dornachstrasse, 9443 Widnau",st-gallen,Attic flat,noteg,2016-2024
"CHF 1,595,000.–",4.5 rooms,,"Lessingstrasse 22, 9008 St. Gallen",st-gallen,Attic flat,noteg,2016-2024
"CHF 550,000.–",4.5 rooms,110m²,"Achslenstrasse 30, 9016 St. Gallen",st-gallen,Roof flat,noteg,1961-1970
"CHF 780,000.–",5 rooms,150m²,"Bildfeldstrasse 44, 9500 Wil SG",st-gallen,Roof flat,noteg,1981-1990
"CHF 835,000.–",5.5 rooms,157m²,9242 Oberuzwil,st-gallen,Roof flat,noteg,1981-1990
"CHF 510,000.–",3.5 rooms,75m²,"Gebertingen, 8725 Gebertingen",st-gallen,Roof flat,noteg,1991-2000
"CHF 620,000.–",3.5 rooms,100m²,"Grüntalstrasse 28, 9300 Wittenbach",st-gallen,Roof flat,noteg,1991-2000
"CHF 650,000.–",4.5 rooms,110m²,9230 Flawil,st-gallen,Roof flat,noteg,1991-2000
"CHF 895,000.–",4.5 rooms,122m²,"Grofenbrüelstrasse 2, 7323 Vilters-Wangs",st-gallen,Roof flat,noteg,2011-2015
"CHF 1,150,000.–",4.5 rooms,130m²,"Ufrechten, 8873 Amden",st-gallen,Roof flat,noteg,2011-2015
"CHF 1,850,000.–",5.5 rooms,186m²,"Unterwienacht 446, 9405 Wienacht-Tobel",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,060,000.–",3.5 rooms,109m²,"Hauptstrasse 16b, 9030 Abtwil SG",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,100,000.–",3.5 rooms,111m²,"Reitbahnstrasse 10, 9400 Rorschach",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,190,000.–",6.5 rooms,193m²,"Gartenweg 5, 9606 Bütschwil",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,190,000.–",6.5 rooms,193m²,"Gartenweg 5, 9606 Bütschwil",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,159,000.–",4.5 rooms,182m²,"Ochsenweg, 9122 Mogelsberg",st-gallen,Roof flat,noteg,2016-2024
"CHF 890,000.–",3.5 rooms,84m²,"Sinda 1, 9470 Buchs SG",st-gallen,Roof flat,noteg,2016-2024
"CHF 1,550,000.–",6.5 rooms,174m²,"Sinda 3, 9470 Buchs SG",st-gallen,Roof flat,noteg,2016-2024
"CHF 2,145,000.–",5.5 rooms,208m²,7310 Bad Ragaz,st-gallen,Roof flat,noteg,2016-2024
"CHF 790,000.–",3.5 rooms,90m²,"Riederenstrasse 4, 8638 Goldingen",st-gallen,Roof flat,noteg,2016-2024
"CHF 590,000.–",2.5 rooms,80m²,"Sonnenbergstrasse 12, 8725 Gebertingen",st-gallen,Terrace flat,eg,1961-1970
"CHF 447,500.–",3.5 rooms,72m²,9000 St. Gallen,st-gallen,Terrace flat,eg,1971-1980
"CHF 975,000.–",3.5 rooms,119m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,eg,2016-2024
"CHF 1,120,000.–",4.5 rooms,133m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,eg,2016-2024
"CHF 990,000.–",3.5 rooms,97m²,9404 Rorschacherberg,st-gallen,Terrace flat,eg,2016-2024
"CHF 1,690,000.–",5.5 rooms,155m²,"Hummelbergstrasse 50B, 8645 Jona",st-gallen,Terrace flat,noteg,2006-2010
"CHF 680,000.–",4.5 rooms,126m²,"Lindenweg, 9430 St. Margrethen SG",st-gallen,Terrace flat,noteg,2006-2010
"CHF 790,000.–",3.5 rooms,95m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,noteg,2016-2024
"CHF 1,270,000.–",4.5 rooms,135m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,noteg,2016-2024
"CHF 855,000.–",3.5 rooms,103m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,noteg,2016-2024
"CHF 975,000.–",4.5 rooms,118m²,"Bürgstrasse 2a, 8732 Neuhaus SG",st-gallen,Terrace flat,noteg,2016-2024
"CHF 1,590,000.–",4.5 rooms,160m²,"Abt Bedastrasse 69, 9245 Sonnental",st-gallen,Terrace flat,noteg,2016-2024
"CHF 1,550,000.–",4.5 rooms,156m²,"Thannäckerstrasse 2, 9403 Goldach",st-gallen,Terrace flat,noteg,2016-2024
"CHF 890,000.–",3.5 rooms,89m²,"Thannäckerstrasse 2, 9403 Goldach",st-gallen,Terrace flat,noteg,2016-2024
"CHF 655,000.–",2.5 rooms,65m²,"Thannäckerstrasse 2, 9403 Goldach",st-gallen,Terrace flat,noteg,2016-2024
"CHF 1,700,000.–",5.5 rooms,166m²,9500 Wil,st-gallen,Terrace flat,noteg,2016-2024
"CHF 975,000.–",3 rooms,,8882 Unterterzen,st-gallen,Terrace flat,noteg,2016-2024
"CHF 900,000.–",2 rooms,146m²,"alte Spinnerei 8, 8877 Murg",st-gallen,Loft,noteg,2006-2010
"CHF 770,000.–",2.5 rooms,109m²,"Rosenbüchelstrasse 1a, 9014 St. Gallen",st-gallen,Loft,noteg,2011-2015
"CHF 1,290,000.–",5.5 rooms,180m²,"Schwendistrasse 34, 9125 Brunnadern",st-gallen,Single house,,0-1919
"CHF 1,250,000.–",5 rooms,160m²,"Hinderdorf 14, 9468 Sax",st-gallen,Single house,,0-1919
"CHF 990,000.–",6.5 rooms,,"Altendorferstrasse 24 /24a, 9470 Buchs SG",st-gallen,Single house,,0-1919
"CHF 730,000.–",8.5 rooms,247m²,"Hauptstrasse 83, 9436 Balgach",st-gallen,Single house,,0-1919
"CHF 835,000.–",5.5 rooms,170m²,7320 Sargans,st-gallen,Single house,,0-1919
"CHF 550,000.–",5.5 rooms,130m²,"Sonnentalstrasse 16, 9036 Grub SG",st-gallen,Single house,,0-1919
"CHF 990,000.–",6.5 rooms,157m²,"Zürcherstrasse 15, 7320 Sargans",st-gallen,Single house,,0-1919
"CHF 790,000.–",7.5 rooms,134m²,"Grobenentschwil 1302, 9230 Flawil",st-gallen,Single house,,0-1919
"CHF 3,490,000.–",9 rooms,,9403 Goldach,st-gallen,Single house,,0-1919
"CHF 250,000.–",1 room,144m²,9643 Krummenau,st-gallen,Single house,,0-1919
"CHF 1,000,000.–",4.5 rooms,131m²,9453 Eichberg,st-gallen,Single house,,0-1919
"CHF 599,000.–",7.5 rooms,190m²,9430 St. Margrethen SG,st-gallen,Single house,,0-1919
"CHF 1,290,000.–",6.5 rooms,250m²,"Dorfstrasse 25A, 9313 Muolen",st-gallen,Single house,,0-1919
"CHF 750,000.–",6.5 rooms,165m²,9470 Buchs SG,st-gallen,Single house,,0-1919
"CHF 480,000.–",10.5 rooms,232m²,"Kapellweg 3, 9464 Lienz",st-gallen,Single house,,0-1919
"CHF 570,000.–",6 rooms,130m²,"Kobelwies 25, 9463 Oberriet",st-gallen,Single house,,1919-1945
"CHF 650,000.–",5.5 rooms,147m²,"Untergasse 8, 9437 Marbach SG",st-gallen,Single house,,1919-1945
"CHF 895,000.–",5.5 rooms,115m²,"Linsenbühlstrasse 74a, 9000 St. Gallen",st-gallen,Single house,,1919-1945
"CHF 880,000.–",10.5 rooms,230m²,"Fabrikstrasse 5, 9478 Azmoos",st-gallen,Single house,,1919-1945
"CHF 695,000.–",5.5 rooms,150m²,"Obergasse 16, 9437 Marbach SG",st-gallen,Single house,,1919-1945
"CHF 770,000.–",7.5 rooms,164m²,"Neudorfstrasse 11, 9434 Au SG",st-gallen,Single house,,1919-1945
"CHF 950,000.–",147m²,147m²,"Kamorstrasse 12, 9464 Rüthi (Rheintal)",st-gallen,Single house,,1919-1945
"CHF 790,000.–",4.5 rooms,132m²,"Schmitterstrasse 10, 9444 Diepoldsau",st-gallen,Single house,,1919-1945
"CHF 800,000.–",5.5 rooms,,"Gasterstrasse 59, 8722 Kaltbrunn",st-gallen,Single house,,1919-1945
"CHF 990,000.–",6.5 rooms,,"Altendorferstrasse 24 /24a, 9470 Buchs SG",st-gallen,Single house,,1919-1945
"CHF 570,000.–",5.5 rooms,112m²,"Dorfstrasse 30, 9472 Grabs",st-gallen,Single house,,1919-1945
"CHF 650,000.–",,,"Hauptstrasse 102, 9658 Wildhaus",st-gallen,Single house,,1919-1945
"CHF 730,000.–",8.5 rooms,247m²,"Hauptstrasse 83, 9436 Balgach",st-gallen,Single house,,1919-1945
"CHF 529,000.–",5 rooms,,"Neuheimstrasse 10, 9240 Uzwil",st-gallen,Single house,,1919-1945
"CHF 1,290,000.–",8 rooms,170m²,"Ernetschwilerstrasse 22, 8730 Uznach",st-gallen,Single house,,1919-1945
"CHF 920,000.–",5.5 rooms,124m²,"Bildstrasse 11, 9436 Balgach",st-gallen,Single house,,1919-1945
"CHF 1,450,000.–",10.5 rooms,275m²,"Laupen 667, 9524 Zuzwil SG",st-gallen,Single house,,1919-1945
"CHF 376,000.–",4.5 rooms,82m²,9656 Alt Sankt Johann,st-gallen,Single house,,1919-1945
"CHF 850,000.–",5.5 rooms,96m²,"Siedlungsstrasse 11, 9443 Widnau",st-gallen,Single house,,1919-1945
"CHF 1,690,000.–",259m²,259m²,"Arneggerstrasse 28, 9205 Waldkirch",st-gallen,Single house,,1919-1945
"CHF 1,195,000.–",5.5 rooms,230m²,"Weiherhofstrasse 2, 9552 Bronschhofen",st-gallen,Single house,,1919-1945
"CHF 590,000.–",8.5 rooms,155m²,9424 Rheineck,st-gallen,Single house,,1919-1945
"CHF 550,000.–",5.5 rooms,117m²,9450 Altstätten,st-gallen,Single house,,1919-1945
"CHF 630,000.–",4.5 rooms,112m²,9240 Uzwil,st-gallen,Single house,,1919-1945
"CHF 870,000.–",197m²,197m²,8726 Ricken SG,st-gallen,Single house,,1919-1945
"CHF 250,000.–",1 room,144m²,9643 Krummenau,st-gallen,Single house,,1919-1945
"CHF 475,000.–",4.5 rooms,178m²,"Winkeln 15, 8718 Schänis",st-gallen,Single house,,1919-1945
"CHF 599,000.–",7.5 rooms,190m²,9430 St. Margrethen SG,st-gallen,Single house,,1919-1945
"CHF 895,000.–",8.5 rooms,144m²,9436 Balgach,st-gallen,Single house,,1919-1945
"CHF 1,075,000.–",5.5 rooms,146m²,"Oberdorfstrasse 3, 9249 Algetshausen",st-gallen,Single house,,1919-1945
"CHF 895,000.–",7.5 rooms,161m²,9400 Rorschach,st-gallen,Single house,,1919-1945
"CHF 1,510,000.–",7.5 rooms,220m²,"Sonnenberg 27, 8722 Kaltbrunn",st-gallen,Single house,,1919-1945
"CHF 695,000.–",4.5 rooms,110m²,9403 Goldach,st-gallen,Single house,,1919-1945
"CHF 800,000.–",8.5 rooms,170m²,9424 Rheineck,st-gallen,Single house,,1919-1945
"CHF 647,000.–",5.5 rooms,120m²,8887 Mels,st-gallen,Single house,,1919-1945
"CHF 480,000.–",10.5 rooms,232m²,"Kapellweg 3, 9464 Lienz",st-gallen,Single house,,1919-1945
"CHF 1,650,000.–",6.5 rooms,250m²,"Gartenstrasse 21, 9443 Widnau",st-gallen,Single house,,1946-1960
"CHF 1,390,000.–",5.5 rooms,223m²,"Flumserberg Portels, 8895 Flumserberg Portels",st-gallen,Single house,,1946-1960
"CHF 925,000.–",5.5 rooms,102m²,"Widen 2, 9475 Sevelen",st-gallen,Single house,,1946-1960
"CHF 2,000,000.–",6.5 rooms,174m²,"Untere Böschachstrasse 14, 9444 Diepoldsau",st-gallen,Single house,,1946-1960
"CHF 840,000.–",7.5 rooms,,"Alberweg 12, 9470 Buchs SG",st-gallen,Single house,,1946-1960
"CHF 560,000.–",4.5 rooms,92m²,"Wasserfluhstrasse 11, 9620 Lichtensteig",st-gallen,Single house,,1946-1960
"CHF 525,000.–",,,"Blumenweg 3, 7320 Sargans",st-gallen,Single house,,1946-1960
"CHF 1,390,000.–",6.5 rooms,186m²,"Friedbergweg 3, 9500 Wil SG",st-gallen,Single house,,1946-1960
"CHF 640,000.–",4.5 rooms,96m²,"Weidstrasse 7, 9230 Flawil",st-gallen,Single house,,1946-1960
"CHF 795,000.–",4.5 rooms,98m²,"Gartenstrasse 4, 9444 Diepoldsau",st-gallen,Single house,,1946-1960
"CHF 895,000.–",5.5 rooms,101m²,9422 Staad,st-gallen,Single house,,1946-1960
"CHF 890,000.–",6 rooms,143m²,"Holderweg 20, 9470 Buchs SG",st-gallen,Single house,,1946-1960
"CHF 925,000.–",6.5 rooms,135m²,9230 Flawil,st-gallen,Single house,,1946-1960
"CHF 710,000.–",7 rooms,225m²,8896 Flumserberg Bergheim,st-gallen,Single house,,1946-1960
"CHF 1,250,000.–",7 rooms,173m²,8890 Flums,st-gallen,Single house,,1946-1960
"CHF 530,000.–",4.5 rooms,,9500 Wil SG,st-gallen,Single house,,1946-1960
"CHF 820,000.–",5.5 rooms,87m²,9470 Buchs SG,st-gallen,Single house,,1946-1960
"CHF 1,045,000.–",6.5 rooms,115m²,8730 Uznach,st-gallen,Single house,,1946-1960
"CHF 1,650,000.–",7.5 rooms,193m²,"Bachstrasse 10A, 9470 Buchs SG",st-gallen,Single house,,1961-1970
"CHF 890,000.–",5.5 rooms,114m²,"Konstanzerstrasse 51, 9500 Wil",st-gallen,Single house,,1961-1970
"CHF 850,000.–",5.5 rooms,110m²,"Lärchenweg 7, 9450 Altstätten SG",st-gallen,Single house,,1961-1970
"CHF 1,850,000.–",10 rooms,331m²,"Krans-Lachenstrasse 23, 9450 Altstätten SG",st-gallen,Single house,,1961-1970
"CHF 890,000.–",4.5 rooms,108m²,"Nelkenweg 5, 9444 Diepoldsau",st-gallen,Single house,,1961-1970
"CHF 770,000.–",5 rooms,105m²,9443 Widnau,st-gallen,Single house,,1961-1970
"CHF 735,000.–",5.5 rooms,105m²,"Nordstrasse 27, 9450 Altstätten SG",st-gallen,Single house,,1961-1970
"CHF 1,695,000.–",6.5 rooms,297m²,"Apfelbergstrasse 29, 9430 St. Margrethen SG",st-gallen,Single house,,1961-1970
"CHF 695,000.–",4.5 rooms,113m²,"Eichbergstrasse 24, 9463 Oberriet SG",st-gallen,Single house,,1961-1970
"CHF 1,350,000.–",5.5 rooms,165m²,9552 Bronschhofen,st-gallen,Single house,,1961-1970
"CHF 850,000.–",5 rooms,115m²,9430 St. Margrethen SG,st-gallen,Single house,,1961-1970
"CHF 790,000.–",5.5 rooms,118m²,9443 Widnau,st-gallen,Single house,,1961-1970
"CHF 995,000.–",5.5 rooms,120m²,"Wiesenstrasse 19, 9300 Wittenbach",st-gallen,Single house,,1961-1970
"CHF 819,000.–",6.5 rooms,155m²,"Höhlerstrasse 7, 9445 Rebstein",st-gallen,Single house,,1961-1970
"CHF 1,290,000.–",5.5 rooms,160m²,9014 St. Gallen,st-gallen,Single house,,1961-1970
"CHF 1,430,000.–",5.5 rooms,138m²,"Schlossfeld 11, 9470 Buchs SG",st-gallen,Single house,,1971-1980
"CHF 960,000.–",6.5 rooms,136m²,"Bildmadstrasse 5, 9437 Marbach SG",st-gallen,Single house,,1971-1980
"CHF 2,250,000.–",11 rooms,326m²,"Rietwiesstrasse 41, 8737 Gommiswald",st-gallen,Single house,,1971-1980
"CHF 1,480,000.–",5.5 rooms,149m²,"Quellenstrasse 6a, 9016 St. Gallen 16 Neudorf",st-gallen,Single house,,1971-1980
"CHF 1,290,000.–",260m²,260m²,"Hans Saxerstrasse 11, 9453 Eichberg",st-gallen,Single house,,1971-1980
"CHF 790,000.–",6.5 rooms,143m²,"Auenstrasse 31, 9443 Widnau",st-gallen,Single house,,1971-1980
"CHF 750,000.–",3.5 rooms,82m²,"Bitziweidstrasse 30, 8739 Rieden SG",st-gallen,Single house,,1971-1980
"CHF 1,400,000.–",5.5 rooms,,"Dunantstrasse 12, 9016 St. Gallen",st-gallen,Single house,,1971-1980
"CHF 1,200,000.–",5 rooms,147m²,"Rosenstrasse 8, 9247 Henau",st-gallen,Single house,,1971-1980
"CHF 870,000.–",5.5 rooms,119m²,"Stockenstrasse 4, 9464 Lienz",st-gallen,Single house,,1971-1980
"CHF 1,950,000.–",194m²,194m²,"Grundstrasse 4, 9464 Rüthi (Rheintal)",st-gallen,Single house,,1971-1980
"CHF 1,740,000.–",235m²,235m²,"Rietlistrasse 18, 9470 Buchs SG",st-gallen,Single house,,1971-1980
"CHF 2,800,000.–",586m²,586m²,"Hinterburgstrasse 8, 9442 Berneck",st-gallen,Single house,,1971-1980
"CHF 590,000.–",6.5 rooms,122m²,"Schmelziweg 7, 8887 Mels",st-gallen,Single house,,1971-1980
"CHF 870,000.–",5.5 rooms,100m²,"Kriessernstrasse 44, 9450 Altstätten SG",st-gallen,Single house,,1971-1980
