price,number_of_rooms,square_meters,address,canton,property_type,floor,year_category
"CHF 535,000.–",2 rooms,53m²,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,1981-1990
"CHF 345,000.–",2.5 rooms,70m²,1880 Bex,vaud,Apartment,eg,1981-1990
"CHF 1,400,000.–",5.5 rooms,130m²,1820 Montreux,vaud,Apartment,eg,1981-1990
"CHF 180,000.–",3.5 rooms,48m²,"Chemin des Bosquets 3, 1450 Ste-Croix",vaud,Apartment,eg,1981-1990
"CHF 635,000.–",5.5 rooms,148m²,"Chemin des Bosquets 3, 1450 Ste-Croix",vaud,Apartment,eg,1981-1990
"CHF 705,000.–",3.5 rooms,60m²,1185 Mont-sur-Rolle,vaud,Apartment,eg,1981-1990
"CHF 265,000.–",2.5 rooms,47m²,1854 Leysin,vaud,Apartment,eg,1981-1990
"CHF 550,000.–",4.5 rooms,102m²,1854 Leysin,vaud,Apartment,eg,1981-1990
"CHF 670,000.–",3.5 rooms,94m²,1040 Villars-le-Terroir,vaud,Apartment,eg,1981-1990
"CHF 345,000.–",2.5 rooms,70m²,1880 Bex,vaud,Apartment,eg,1981-1990
"CHF 1,090,000.–",3.5 rooms,97m²,1110 Morges,vaud,Apartment,eg,1981-1990
"CHF 990,000.–",4.5 rooms,91m²,1066 Epalinges,vaud,Apartment,eg,1981-1990
"CHF 750,000.–",3.5 rooms,93m²,"Route des Chenolettes, 1660 Château-d’Œx",vaud,Apartment,eg,1981-1990
"CHF 1,500,000.–",5.5 rooms,143m²,"Route des Chenolettes, 1660 Château-d’Œx",vaud,Apartment,eg,1981-1990
"CHF 595,000.–",3.5 rooms,69m²,"Chemin de la Bréfelaz 8, 1144 Ballens",vaud,Apartment,eg,1981-1990
"CHF 845,000.–",4.5 rooms,115m²,"Montreux, 1820 Montreux",vaud,Apartment,eg,1981-1990
"CHF 1,250,000.–",3.5 rooms,97m²,"Nyon, 1260 Nyon",vaud,Apartment,eg,1981-1990
"CHF 535,000.–",2 rooms,53m²,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,1981-1990
"CHF 1,260,000.–",4.5 rooms,122m²,1026 Echandens,vaud,Apartment,eg,1981-1990
"CHF 1,900,000.–",7.5 rooms,214m²,"Begnins, 1268 Begnins",vaud,Apartment,eg,1991-2000
"CHF 1,600,000.–",5.5 rooms,130m²,"Lutry, 1095 Lutry",vaud,Apartment,eg,1991-2000
"CHF 970,000.–",4.5 rooms,150m²,1058 Villars-Tiercelin,vaud,Apartment,eg,1991-2000
"CHF 1,350,000.–",5.5 rooms,152m²,1018 Lausanne,vaud,Apartment,eg,1991-2000
"CHF 910,000.–",3.5 rooms,91m²,1822 Chernex,vaud,Apartment,eg,1991-2000
"CHF 465,000.–",2 rooms,43m²,1822 Chernex,vaud,Apartment,eg,1991-2000
"CHF 590,000.–",4.5 rooms,108m²,1867 Ollon VD,vaud,Apartment,eg,1991-2000
"CHF 990,000.–",4.5 rooms,88m²,1162 St Prex,vaud,Apartment,eg,1991-2000
"CHF 900,000.–",3.5 rooms,80m²,1071 Chexbres,vaud,Apartment,eg,1991-2000
"CHF 1,400,000.–",4.5 rooms,114m²,1162 St-Prex,vaud,Apartment,eg,1991-2000
"CHF 530,000.–",4.5 rooms,93m²,1439 Rances,vaud,Apartment,eg,1991-2000
"CHF 995,000.–",5.5 rooms,166m²,1436 Chamblon,vaud,Apartment,eg,1991-2000
"CHF 627,000.–",2.5 rooms,67m²,1196 Gland,vaud,Apartment,eg,1991-2000
"CHF 1,254,000.–",4.5 rooms,135m²,1263 Crassier,vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,104m²,"Gollion, 1124 Gollion",vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,98m²,1110 Morges,vaud,Apartment,eg,1991-2000
"CHF 1,090,000.–",4.5 rooms,140m²,1163 Etoy,vaud,Apartment,eg,1991-2000
"CHF 910,000.–",3.5 rooms,91m²,1822 Chernex,vaud,Apartment,eg,1991-2000
"CHF 1,030,000.–",4.5 rooms,115m²,1037 Etagnières,vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,104m²,1124 Gollion,vaud,Apartment,eg,1991-2000
"CHF 750,000.–",4.5 rooms,93m²,"Chemin de l' Entoz 3, 1042 Bioley-Orjulaz",vaud,Apartment,eg,2001-2005
"CHF 1,200,000.–",4.5 rooms,131m²,"Chemin Buvelot 5b, 1110 Morges",vaud,Apartment,eg,2001-2005
"CHF 860,000.–",6.5 rooms,147m²,"Montagny-près-Yverdon, 1442 Montagny-près-Yverdon",vaud,Apartment,eg,2001-2005
"CHF 995,000.–",4 rooms,114m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2001-2005
"CHF 1,270,000.–",5.5 rooms,187m²,"Vufflens-la-Ville, 1302 Vufflens-la-Ville",vaud,Apartment,eg,2001-2005
"CHF 2,500,000.–",5.5 rooms,153m²,1884 Villars-sur-Ollon,vaud,Apartment,eg,2001-2005
"CHF 1,370,000.–",5.5 rooms,203m²,1302 Vufflens-la-Ville,vaud,Apartment,eg,2001-2005
"CHF 840,000.–",4.5 rooms,91m²,1073 Savigny,vaud,Apartment,eg,2001-2005
"CHF 990,000.–",3.5 rooms,86m²,"Chemin de Paplan 4, 1268 Begnins",vaud,Apartment,eg,2001-2005
"CHF 890,000.–",4.5 rooms,121m²,1040 Echallens,vaud,Apartment,eg,2001-2005
"CHF 1,730,000.–",4 rooms,140m²,1299 Crans VD,vaud,Apartment,eg,2001-2005
"CHF 990,000.–",4 rooms,140m²,1800 Vevey,vaud,Apartment,eg,2001-2005
"CHF 940,000.–",4.5 rooms,101m²,"Rue du Carre 5, 1174 Aubonne",vaud,Apartment,eg,2001-2005
