price,number_of_rooms,address,canton,property_type,floor,year_category
"CHF 979,000.–",3 rooms,6340 Baar,zug,Apartment,eg,1961-1970
"CHF 1,650,000.–",4.5 rooms,"Eichstrasse 52, 6330 Cham",zug,Apartment,eg,1981-1990
"CHF 1,680,000.–",4.5 rooms,6330 Cham,zug,Apartment,eg,1981-1990
"CHF 2,090,000.–",5.5 rooms,6343 Rotkreuz,zug,Apartment,eg,1991-2000
"CHF 3,950,000.–",4.5 rooms,6300 Zug,zug,Apartment,eg,2001-2005
"CHF 1,490,000.–",3.5 rooms,"Zugerstrasse 62A, 6314 Unterägeri",zug,Apartment,eg,2001-2005
"CHF 1,450,000.–",4.5 rooms,6313 Menzingen,zug,Apartment,eg,2016-2024
"CHF 1,180,000.–",3.5 rooms,"Oberägeri, 6315 Oberägeri",zug,Apartment,noteg,1961-1970
"CHF 2,000,000.–",5 rooms,6312 Steinhausen,zug,Apartment,noteg,1961-1970
"CHF 2,090,000.–",4.5 rooms,"Sonnhaldenstrasse 93, 6331 Hünenberg",zug,Apartment,noteg,1971-1980
"CHF 1,350,000.–",4.5 rooms,6331 Hünenberg,zug,Apartment,noteg,1971-1980
"CHF 940,000.–",4 rooms,"Neudorfstrasse 19, 6313 Menzingen",zug,Apartment,noteg,1971-1980
"CHF 1,190,000.–",4.5 rooms,"Untere Rainstrasse 22, 6340 Baar",zug,Apartment,noteg,1971-1980
"CHF 1,890,000.–",3.5 rooms,"Poststrasse 24, 6300 Zug",zug,Apartment,noteg,1981-1990
"CHF 1,490,000.–",5.5 rooms,"Hagendorn, 6332 Hagendorn",zug,Apartment,noteg,1981-1990
"CHF 1,260,000.–",3.5 rooms,"Baarerstrasse 11, 6300 Zug",zug,Apartment,noteg,1981-1990
"CHF 1,225,000.–",3.5 rooms,"Oberdorfstrasse 12, 6340 Baar",zug,Apartment,noteg,1981-1990
"CHF 1,220,000.–",3.5 rooms,"Langackerstrasse 26, 6330 Cham",zug,Apartment,noteg,1981-1990
"CHF 1,595,000.–",5.5 rooms,6313 Menzingen,zug,Apartment,noteg,1981-1990
"CHF 1,344,000.–",4.5 rooms,6330 Cham,zug,Apartment,noteg,1981-1990
"CHF 2,270,000.–",5.5 rooms,"Oberägeri, 6315 Oberägeri",zug,Apartment,noteg,1991-2000
"CHF 4,050,000.–",4.5 rooms,6315 Oberägeri,zug,Apartment,noteg,1991-2000
"CHF 2,250,000.–",4.5 rooms,"Hofstrasse 54, 6300 Zug",zug,Apartment,noteg,1991-2000
"CHF 1,474,000.–",4.5 rooms,"Lorzendamm 12, 6340 Baar",zug,Apartment,noteg,1991-2000
"CHF 1,315,000.–",4.5 rooms,6343 Rotkreuz,zug,Apartment,noteg,1991-2000
"CHF 945,000.–",2.5 rooms,6345 Neuheim,zug,Apartment,noteg,1991-2000
"CHF 1,890,000.–",4.5 rooms,6340 Baar,zug,Apartment,noteg,1991-2000
"CHF 980,000.–",4.5 rooms,6330 Cham,zug,Apartment,noteg,1991-2000
"CHF 2,054,000.–",5.5 rooms,"Zugerstrasse 59, 6312 Steinhausen",zug,Apartment,noteg,1991-2000
"CHF 1,480,000.–",4.5 rooms,"Zugerstrasse 59, 6312 Steinhausen",zug,Apartment,noteg,1991-2000
"CHF 1,750,000.–",5.5 rooms,6343 Rotkreuz,zug,Apartment,noteg,1991-2000
"CHF 1,750,000.–",3.5 rooms,6300 Zug,zug,Apartment,noteg,2001-2005
"CHF 1,860,000.–",5.5 rooms,6330 Cham,zug,Apartment,noteg,2001-2005
"CHF 1,750,000.–",4.5 rooms,"Blickensdorferstrasse, 6340 Baar",zug,Apartment,noteg,2006-2010
"CHF 2,750,000.–",5.5 rooms,"Parkstrasse 35, 6340 Baar",zug,Apartment,noteg,2006-2010
"CHF 1,480,000.–",4.5 rooms,"Alte Landstrasse 63, 6314 Unterägeri",zug,Apartment,noteg,2006-2010
"CHF 5,410,000.–",4.5 rooms,6318 Walchwil,zug,Apartment,noteg,2006-2010
"CHF 1,800,000.–",3.5 rooms,"Schützenhausstrasse 14, 6332 Cham",zug,Apartment,noteg,2006-2010
"CHF 1,500,000.–",2.5 rooms,"Aabachstrasse 10, 6300 Zug",zug,Apartment,noteg,2011-2015
"CHF 2,150,000.–",3.5 rooms,"Zugerstrasse, 6330 Cham",zug,Apartment,noteg,2011-2015
"CHF 2,130,000.–",3.5 rooms,6330 Cham,zug,Apartment,noteg,2011-2015
"CHF 2,220,000.–",4.5 rooms,"Lutisbachweg 10, 6315 Oberägeri",zug,Apartment,noteg,2016-2024
"CHF 1,470,000.–",2.5 rooms,"Lutisbachweg 11, 6315 Oberägeri",zug,Apartment,noteg,2016-2024
"CHF 1,770,000.–",3.5 rooms,"Ammannsmatt 2, 6300 Zug",zug,Apartment,noteg,2016-2024
"CHF 1,830,000.–",4.5 rooms,6330 Cham,zug,Apartment,noteg,2016-2024
"CHF 1,650,000.–",4.5 rooms,"Eichstrasse 52, 6330 Cham",zug,Duplex,eg,1981-1990
"CHF 3,950,000.–",4.5 rooms,6300 Zug,zug,Duplex,eg,2001-2005
"CHF 1,595,000.–",5.5 rooms,6313 Menzingen,zug,Duplex,noteg,1981-1990
"CHF 2,000,000.–",5 rooms,6312 Steinhausen,zug,Attic flat,noteg,1961-1970
"CHF 1,890,000.–",4.5 rooms,6340 Baar,zug,Attic flat,noteg,1991-2000
"CHF 2,054,000.–",5.5 rooms,"Zugerstrasse 59, 6312 Steinhausen",zug,Attic flat,noteg,1991-2000
"CHF 2,750,000.–",5.5 rooms,"Parkstrasse 35, 6340 Baar",zug,Attic flat,noteg,2006-2010
"CHF 1,800,000.–",3.5 rooms,"Schützenhausstrasse 14, 6332 Cham",zug,Attic flat,noteg,2006-2010
"CHF 1,474,000.–",4.5 rooms,"Lorzendamm 12, 6340 Baar",zug,Roof flat,noteg,1991-2000
"CHF 1,750,000.–",4.5 rooms,"Blickensdorferstrasse, 6340 Baar",zug,Roof flat,noteg,2006-2010
"CHF 2,090,000.–",4.5 rooms,"Sonnhaldenstrasse 93, 6331 Hünenberg",zug,Terrace flat,noteg,1971-1980
"CHF 2,270,000.–",5.5 rooms,"Oberägeri, 6315 Oberägeri",zug,Terrace flat,noteg,1991-2000
"CHF 4,050,000.–",4.5 rooms,6315 Oberägeri,zug,Terrace flat,noteg,1991-2000
"CHF 5,410,000.–",4.5 rooms,6318 Walchwil,zug,Terrace flat,noteg,2006-2010
"CHF 2,000,000.–",4.5 rooms,"Tellenmattstrasse 15, 6312 Steinhausen",zug,Single house,,1946-1960
"CHF 5,985,000.–",9.5 rooms,6343 Buonas,zug,Single house,,1981-1990
"CHF 2,400,000.–",5.5 rooms,"Obere Rainstrasse 36, 6345 Neuheim",zug,Single house,,1981-1990
"CHF 6,950,000.–",7.5 rooms,"Underbachstrasse 16, 6318 Walchwil",zug,Single house,,2001-2005
"CHF 5,490,000.–",8.5 rooms,6333 Hünenberg See,zug,Single house,,2001-2005
"CHF 2,650,000.–",4.5 rooms,6315 Oberägeri,zug,Single house,,2016-2024
"CHF 5,675,000.–",9.5 rooms,6300 Zug,zug,Villa,,1991-2000
"EUR 1,560,000.–",5 rooms,"Bahnhofstrasse, 6300 Zug",zug,Villa,,2016-2024
"CHF 2,650,000.–",5.5 rooms,"Rebmattstrasse 15, 6340 Baar",zug,Bifamiliar house,,1971-1980
"CHF 1,990,000.–",9.5 rooms,1633 Marsens,fribourg,Apartment,eg,0-1919
"CHF 1,090,000.–",5.5 rooms,1564 Domdidier,fribourg,Apartment,eg,0-1919
"CHF 1,190,000.–",5.5 rooms,1564 Domdidier,fribourg,Apartment,eg,0-1919
"CHF 390,000.–",3.5 rooms,"Altschlossstrasse 23, 3184 Wünnewil",fribourg,Apartment,eg,0-1919
"CHF 395,000.–",3.5 rooms,"Rue du Russalet 7, 1630 Bulle",fribourg,Apartment,eg,1946-1960
"CHF 745,000.–",5.5 rooms,1694 Villarsiviriaux,fribourg,Apartment,eg,1961-1970
"CHF 515,000.–",3.5 rooms,1694 Villarsiviriaux,fribourg,Apartment,eg,1961-1970
"CHF 620,000.–",3.5 rooms,1635 La Tour de Trême,fribourg,Apartment,eg,1961-1970
"CHF 900,000.–",5.5 rooms,1470 Estavayer-le-Lac,fribourg,Apartment,eg,1961-1970
"CHF 740,000.–",6 rooms,1700 Fribourg,fribourg,Apartment,eg,1971-1980
"CHF 430,000.–",2.5 rooms,"Impasse du Castel 10, 1700 Fribourg",fribourg,Apartment,eg,1971-1980
"CHF 430,000.–",2.5 rooms,"Impasse du Castel 10, 1700 Fribourg",fribourg,Apartment,eg,1971-1980
"CHF 615,000.–",4.5 rooms,"Rte de la Colline 3, 1723 Marly",fribourg,Apartment,eg,1971-1980
"CHF 730,000.–",3.5 rooms,"Pré de la Vigne 12, 1468 Cheyres",fribourg,Apartment,eg,1981-1990
"CHF 920,000.–",5.5 rooms,"Villars-sur-Glâne, 1752 Villars-sur-Glâne",fribourg,Apartment,eg,1981-1990
"CHF 795,000.–",4.5 rooms,1752 Villars-sur-Glâne,fribourg,Apartment,eg,1981-1990
