"","Impôt cantonal","Impôt communal","Impôt paroissial Evang. / réform","Impôt paroissial Kath. / cath.rom"
"Zurich",0.99,1.19,0.1,0.1
"Bern",3.025,1.54,0.184,0.197
"Lucerne",1.6,1.7,0.25,0.25
"Uri",1,0.95,1.15,0.8
"Schwyz",1.2,2.05,0.25,0.281
"Obwalden",3.35,3.76,0.54,0.54
"Nidwalden",2.66,2.15,0.26,0.35
"Glarus",0.592,0.56,0.075,0.08
"Zug",0.8,0.5292,0.085,0.07
"Fribourg",0.96,0.8,0.09,0.07
"Solothurn",1.04,1.07,0.16,0.21
"Basel-Stadt",1,1,0.08,0.08
