"price","number_of_rooms","address","canton","property_type","floor","year_category","Impôt cantonal_impots","Impôt communal_impots","Impôt paroissial Evang. / réform_impots","Impôt paroissial Kath. / cath.rom_impots"
6975000,14,"1167 Lussy-sur-Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2790000,7,"1080 Les Cullayes","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1695000,6,"Echandens, 1026 Echandens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1990000,75,"1134 Chigny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2480000,7,"1268 Begnins","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1790000,65,"1807 Blonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1150000,65,"1063 Boulens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2490000,7,"1278 La Rippe","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3400000,75,"1112 Échichens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
4350000,65,"1802 Corseaux","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
4800000,8,"1296 Coppet","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1150000,4,"1588 Cudrefin","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
4800000,8,"1296 Coppet","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2790000,7,"1080 Les Cullayes","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3300000,75,"1093 La Conversion","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1790000,6,"1860 Aigle","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2190000,65,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2800000,75,"1820 Montreux","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
7800000,75,"1066 Epalinges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1790000,65,"1807 Blonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1290000,55,"1522 Lucens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3400000,75,"1112 Echichens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2090000,6,"1066 Epalinges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1290000,5,"1522 Lucens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2950000,12,"1072 Forel","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1950000,55,"1167 Lussy sur Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
395000,35,"1880 Bex","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1395000,75,"1442 Montagny près Yverdon","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2395000,75,"1026 Echandens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2590000,75,"1807 Blonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
5900000,11,"1195 Dully","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1590000,55,"1073 Savigny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1780000,75,"Ruelle des Marnes 4, 1587 Constantine","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1590000,55,"1073 Savigny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2550000,85,"1110 Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
950000,45,"1867 Ollon VD","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2100000,15,"La Taillaz 1, 1145 Bière","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
4290000,65,"1164 Buchillon","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1250000,55,"1436 Chamblon","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1550000,65,"1071 Chexbres","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1950000,65,"1092 Belmont-sur-Lausanne","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1550000,75,"1522 Lucens","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1500000,7,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3700000,9,"1807 Blonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2100000,6,"1027 Lonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1900000,65,"1066 Epalinges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1980000,65,"1027 Lonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1900000,7,"1092 Belmont-sur-Lausanne","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2790000,7,"1080 Les Cullayes","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3150000,10,"1197 Prangins","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2800000,7,"1291 Commugny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2690000,6,"1008 Jouxtens-Mézery","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3250000,65,"1095 Lutry","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2100000,15,"La Taillaz 1, 1145 Bière","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1970000,7,"1805 Jongny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2420000,8,"1271 Givrins","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2160000,55,"1066 Epalinges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1980000,65,"1110 Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
5300000,65,"1185 Mont-sur-Rolle","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1750000,75,"1029 Villars-Ste-Croix","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1995000,55,"1820 Montreux","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1990000,65,"1024 Ecublens VD","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3700000,9,"1807 Blonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
9e+06,12,"Rue des Moulins 200, 1400 Yverdon-les-Bains","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
625000,45,"1007 Lausanne","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1890000,55,"1806 St-Légier-La Chiésaz","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1900000,9,"1610 Oron-la-Ville","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1900000,9,"1612 Ecoteaux","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1190000,85,"1867 St-Triphon","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1190000,85,"1867 Ollon VD","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1300000,75,"1272 Genolier","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
840000,45,"1261 Longirod","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2450000,75,"1071 Chexbres","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1390000,45,"1072 Forel (Lavaux)","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2950000,12,"1072 Forel (Lavaux)","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
9950000,145,"1184 Luins","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
4650000,95,"1296 Coppet","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2420000,55,"1271 Givrins","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
3600000,85,"1291 Commugny","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
5900000,11,"1195 Dully","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1700000,75,"1110 Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1950000,5,"1167 Lussy-sur-Morges","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1700000,55,"1422 Grandson","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
2200000,7,"1027 Lonay","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1490000,65,"1261 Le Vaud","Vaud","Single house","","1971-1980","1.55",0.785,NA,NA
1999950,105,"Chemin des Planches 22, 1080 Les Cullayes","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2390000,55,"Chemin de Grandvignes 25, 1030 Bussigny","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1190000,75,"Corcelles-près-Payerne, 1562 Corcelles-près-Payerne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1090000,55,"Bex, 1880 Bex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1300000,55,"Mollie-Margot, 1073 Mollie-Margot","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1190000,55,"Montagny-près-Yverdon, 1442 Montagny-près-Yverdon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2695000,65,"1820 Montreux","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1090000,55,"1510 Moudon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2190000,75,"Chemin des Mulets 12, 1174 Montherod","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
5950000,95,"1197 Prangins","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2200000,4,"1260 Nyon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
5390000,85,"1297 Founex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3590000,65,"1807 Blonay","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2400000,85,"1273 Arzier-Le Muids","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
13900000,18,"1820 Montreux","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
850000,55,"1047 Oppens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1590000,75,"1355 L'Abergement","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1750000,65,"1073 Savigny","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1100000,5,"1847 Rennaz","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1300000,55,"1806 St-Légier-La Chiésaz","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3290000,6,"1173 Féchy","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2900000,65,"1096 Villette (Lavaux)","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
6700000,11,"1167 Lussy-sur-Morges","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1590000,75,"1355 L'Abergement","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1300000,85,"1884 Villars-sur-Ollon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
4950000,11,"1036 Sullens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3990000,75,"1820 Montreux","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3990000,75,"1814 La Tour-de-Peilz","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2990000,85,"1000 Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1390000,55,"Bel environnement, 1279 Bogis-Bossey","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2990000,85,"1180 Rolle","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
4e+06,9,"1297 Founex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2450000,65,"1005 Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1750000,65,"1073 Savigny","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2900000,65,"1091 Aran","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1595000,10,"1038 Bercher","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3300000,7,"1095 Lutry","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2990000,85,"1180 Rolle","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3300000,75,"1090 La Croix (Lutry)","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1990000,85,"1808 Les Monts-de-Corsier","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2695000,65,"1817 Brent","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
950000,10,"1462 Yvonand","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2950000,75,"1822 Chernex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2490000,85,"1169 Yens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2450000,65,"1071 Chexbres","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1410000,55,"1442 Montagny-près-Yverdon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
685000,10,"1450 Sainte-Croix","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1485000,55,"1023 Crissier","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1500000,10,"1510 Moudon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3990000,75,"1815 Clarens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
4e+06,9,"1297 Founex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1850000,8,"Sur Rosset 3A, 1040 Echallens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2990000,85,"1186 Essertines-sur-Rolle","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2480000,75,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
5400000,8,"1009 Pully","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1750000,55,"1073 Savigny","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2480000,75,"1005 Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3430000,10,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1190000,55,"1522 Lucens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1050000,7,"1169 Yens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1800000,45,"Route de Puidoux 3, 1091 Grandvaux","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1240000,55,"1073 Mollie-Margot","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1990000,85,"1808 Les Monts-de-Corsier","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1290000,65,"1265 La Cure","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1750000,55,"1073 Savigny","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
3690000,65,"1270 Trélex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
4700000,85,"1299 Crans VD","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1295000,45,"1031 Mex VD","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1595000,10,"1040 Echallens","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1595000,10,"1038 Bercher","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1845000,65,"1267 Vich","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1790000,65,"1052 Le Mont-sur-Lausanne","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1985000,7,"1277 Borex","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1750000,65,"1882 Gryon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
2750000,6,"1260 Nyon","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1685000,65,"1267 Vich","Vaud","Single house","","1981-1990","1.55",0.785,NA,NA
1455250,45,"Payerne, 1530 Payerne","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2219430,55,"Rue des Jumelles 18, 1530 Payerne","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
17144100,8,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
5183100,75,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
7841100,5,"1173 Féchy","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2246010,45,"1807 Blonay","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1435320,45,"1530 Payerne","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1927050,45,"1063 Boulens","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
17144100,8,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2246010,45,"1030 Bussigny-près-Lausanne","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
25251000,10,"1071 Chexbres","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1927050,45,"1063 Boulens","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
7841100,7,"1173 Féchy","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
10499100,65,"1012 Lausanne","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
25251000,10,"1071 Chexbres","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1588150,45,"1376 Eclagnens","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
3827520,45,"1807 Blonay","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
4372410,55,"1091 Grandvaux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
17144100,8,"1815 Clarens","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
25251000,105,"1071 Chexbres","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
12900000,12,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
12900000,12,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
3150000,75,"1180 Rolle","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
3150000,75,"1172 Bougy-Villars","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
12900000,105,"1820 Montreux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
3290000,75,"1091 Grandvaux","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1690000,7,"1188 Gimel","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2895000,85,"1274 Signy","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2700000,6,"1275 Chéserex","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
1595000,55,"1262 Eysins","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
3100000,6,"1260 Nyon","Vaud","Single house","","1991-2000","1.55",0.785,NA,NA
2790900,55,"Chemin du Sétif 33, 1269 Bassins","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1780860,55,"1462 Yvonand","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
1634670,45,"Rue du Village 27, 1347 Le Solliat","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
5581800,8,"1269 Bassins","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3322500,8,"1808 Les Monts-de-Corsier","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
3707910,65,"1163 Etoy","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
2897220,6,"1114 Colombier VD","Vaud","Single house","","2001-2005","1.55",0.785,NA,NA
